Make,Risk Score,Injury Rate,Survival Rate,Total Person
cobb international,2.5,1.5,0.0,2
lo-n-slo airsports inc.,2.5,1.5,0.0,2
flight design usa,2.5,1.5,0.0,2
shaub,2.5,1.5,0.0,2
michael e. nourse,2.5,1.5,0.0,2
scharnhorst,2.5,1.5,0.0,2
louis edmondson,2.5,1.5,0.0,2
knab-douglas,2.5,1.5,0.0,2
prill,2.5,1.5,0.0,2
hawkins william,2.5,1.5,0.0,2
rothrock,2.5,1.5,0.0,2
sherman holie,2.5,1.5,0.0,2
globe swift,2.5,1.5,0.0,2
john d. williams,2.5,1.5,0.0,2
everett vidrine,2.5,1.5,0.0,2
arns,2.5,1.5,0.0,2
hubbard,2.5,1.5,0.0,2
reisinger,2.5,1.5,0.0,2
hesler,2.5,1.5,0.0,2
hardin,2.5,1.5,0.0,2
duffy,2.25,1.25,0.0,3
wsk pzl warzawa-okecie,2.1666666666666665,1.1666666666666667,0.0,5
rans s-12,2.0,1.0,0.0,2
hagaman pitts,2.0,1.0,0.0,1
new kolb aircraft co llc,2.0,1.0,0.0,2
hager clinton ray,2.0,1.0,0.0,1
hagerty,2.0,1.0,0.0,2
hahn,2.0,1.0,0.0,1
haddow william h,2.0,1.0,0.0,1
haines,2.0,1.0,0.0,1
hadley,2.0,1.0,0.0,1
sours/midget mustang,2.0,1.0,0.0,1
sorrel,2.0,1.0,0.0,3
h.s. mosley,2.0,1.0,0.0,1
grumman american aviation,2.0,1.0,0.0,1
neyman-pietenpol,2.0,1.0,0.0,1
grunska,2.0,1.0,0.0,2
grunska earl j,2.0,1.0,0.0,1
guarino,2.0,1.0,0.0,2
southworth,2.0,1.0,0.0,1
newkirk thomas ray,2.0,1.0,0.0,2
southern powered parachutes,2.0,1.0,0.0,1
southern powered parachute,2.0,1.0,0.0,2
gulfstream american corp.,2.0,1.0,0.0,3
gulfstream-schweizer a/c corp,2.0,1.0,0.0,3
rans employee flying club,2.0,1.0,0.0,6
southern,2.0,1.0,0.0,1
newell thomas,2.0,1.0,0.0,1
south mississippi light aircra,2.0,1.0,0.0,2
halbert james h,2.0,1.0,0.0,2
sorrell aircraft,2.0,1.0,0.0,2
haines joseph e,2.0,1.0,0.0,1
hallquist,2.0,1.0,0.0,1
hall christen eagle,2.0,1.0,0.0,2
softex invest llc,2.0,1.0,0.0,2
solem,2.0,1.0,0.0,1
hanson,2.0,1.0,0.0,1
hanson lonn,2.0,1.0,0.0,2
hanson robert h,2.0,1.0,0.0,1
haphey bruce frederic,2.0,1.0,0.0,1
soko,2.0,1.0,0.0,1
hardesty/hays,2.0,1.0,0.0,1
sonex limited,2.0,1.0,0.0,2
rans s-12 airaile,2.0,1.0,0.0,1
hardy,2.0,1.0,0.0,2
hargrove,2.0,1.0,0.0,1
snyder todd w,2.0,1.0,0.0,1
netz,2.0,1.0,0.0,1
harper,2.0,1.0,0.0,2
hansen david daniel,2.0,1.0,0.0,2
hansen,2.0,1.0,0.0,2
hannah,2.0,1.0,0.0,2
hankins/dickerson,2.0,1.0,0.0,1
haney,2.0,1.0,0.0,1
handy james l,2.0,1.0,0.0,1
hancock- harris,2.0,1.0,0.0,1
sollars,2.0,1.0,0.0,1
hamilton stoddard,2.0,1.0,0.0,1
new,2.0,1.0,0.0,2
haltom,2.0,1.0,0.0,2
halsted,2.0,1.0,0.0,1
soneral,2.0,1.0,0.0,1
hallbauer,2.0,1.0,0.0,2
hallam,2.0,1.0,0.0,2
sonex / john d. mccarter,2.0,1.0,0.0,1
hall jeffrey,2.0,1.0,0.0,1
spangenberg,2.0,1.0,0.0,1
rans company,2.0,1.0,0.0,1
grumman aircraft cor-schweizer,2.0,1.0,0.0,1
goiden circle,2.0,1.0,0.0,1
golden circle air inc,2.0,1.0,0.0,1
goldman,2.0,1.0,0.0,1
stanley b e,2.0,1.0,0.0,1
gomory,2.0,1.0,0.0,1
gonzalez manuel a,2.0,1.0,0.0,1
stanley,2.0,1.0,0.0,1
goodacre,2.0,1.0,0.0,3
goode,2.0,1.0,0.0,1
goodlett,2.0,1.0,0.0,1
nokes matthew,2.0,1.0,0.0,2
stampe renard,2.0,1.0,0.0,2
gordorn price,2.0,1.0,0.0,1
goss,2.0,1.0,0.0,1
gossard ronald f,2.0,1.0,0.0,1
gosselin charles,2.0,1.0,0.0,1
goins,2.0,1.0,0.0,1
goehring,2.0,1.0,0.0,1
gottelt herbert r,2.0,1.0,0.0,2
goddard dick sim,2.0,1.0,0.0,1
gilpatrick,2.0,1.0,0.0,1
ginn,2.0,1.0,0.0,2
gippsaero pty ltd,2.0,1.0,0.0,2
girgen,2.0,1.0,0.0,2
gisclair,2.0,1.0,0.0,1
glasair aviation usa llc,2.0,1.0,0.0,1
glasair iii,2.0,1.0,0.0,1
glaser-dirks-flugzeubau,2.0,1.0,0.0,1
ramseyer,2.0,1.0,0.0,1
glenn h curtiss museum,2.0,1.0,0.0,1
glimn,2.0,1.0,0.0,1
glover,2.0,1.0,0.0,1
gn-1 aircamper,2.0,1.0,0.0,2
star duster too,2.0,1.0,0.0,1
star duster,2.0,1.0,0.0,1
gothard,2.0,1.0,0.0,1
goudie,2.0,1.0,0.0,1
grumman acft eng cor,2.0,1.0,0.0,1
randolph flagg,2.0,1.0,0.0,1
gremminger greg,2.0,1.0,0.0,1
randy wayne maloney,2.0,1.0,0.0,2
grieme,2.0,1.0,0.0,2
griff,2.0,1.0,0.0,1
spectrum,2.0,1.0,0.0,1
grigg/bowers,2.0,1.0,0.0,1
griner,2.0,1.0,0.0,1
grob aircraft ag,2.0,1.0,0.0,2
nickel,2.0,1.0,0.0,1
grooms,2.0,1.0,0.0,1
grove,2.0,1.0,0.0,1
rans aircraft,2.0,1.0,0.0,2
harral,2.0,1.0,0.0,2
spark/acroduster,2.0,1.0,0.0,2
grumman acft eng,2.0,1.0,0.0,2
gremminger,2.0,1.0,0.0,2
gregg,2.0,1.0,0.0,1
stafford,2.0,1.0,0.0,3
greg smith,2.0,1.0,0.0,1
stadden,2.0,1.0,0.0,1
gowan,2.0,1.0,0.0,1
nixon,2.0,1.0,0.0,1
st clair,2.0,1.0,0.0,2
squier,2.0,1.0,0.0,1
rand/robinson,2.0,1.0,0.0,1
granger michael d,2.0,1.0,0.0,1
niquette,2.0,1.0,0.0,2
nielsen martin m,2.0,1.0,0.0,1
sportavia putzer,2.0,1.0,0.0,1
green l/gilner d,2.0,1.0,0.0,1
green-fowler,2.0,1.0,0.0,1
greene r/greene s,2.0,1.0,0.0,1
greenleaf,2.0,1.0,0.0,1
spezio sport,2.0,1.0,0.0,1
snider,2.0,1.0,0.0,3
porter james grant,2.0,1.0,0.0,1
harriman,2.0,1.0,0.0,1
silver,2.0,1.0,0.0,1
historical aircraft corp.,2.0,1.0,0.0,1
hitchens,2.0,1.0,0.0,1
hockenbury,2.0,1.0,0.0,1
simmons william e,2.0,1.0,0.0,2
hodges,2.0,1.0,0.0,2
simcox,2.0,1.0,0.0,1
hodre-buull-kolb,2.0,1.0,0.0,1
hoffman david k,2.0,1.0,0.0,1
harris-hafen,2.0,1.0,0.0,2
hoffmeyer,2.0,1.0,0.0,1
silvaggio,2.0,1.0,0.0,1
nash cassutt racer,2.0,1.0,0.0,1
hoke bobby f,2.0,1.0,0.0,2
sill/thomas,2.0,1.0,0.0,1
holiman,2.0,1.0,0.0,1
siler ronald e,2.0,1.0,0.0,1
simpson,2.0,1.0,0.0,3
hirn associates ltd,2.0,1.0,0.0,1
sinclair,2.0,1.0,0.0,1
raudenbush ernie,2.0,1.0,0.0,1
hewitt,2.0,1.0,0.0,1
hibbard norman e,2.0,1.0,0.0,1
hickham,2.0,1.0,0.0,2
rauch,2.0,1.0,0.0,1
six-chuter,2.0,1.0,0.0,2
higgens,2.0,1.0,0.0,2
higgins john h/williams john d,2.0,1.0,0.0,2
high craft,2.0,1.0,0.0,1
six chutter,2.0,1.0,0.0,1
six chuter west llc,2.0,1.0,0.0,2
hillard charlie r,2.0,1.0,0.0,2
hiller-tri-plex ind.inc.,2.0,1.0,0.0,3
hillery w. grice,2.0,1.0,0.0,1
hilvety,2.0,1.0,0.0,1
sisk,2.0,1.0,0.0,1
silence,2.0,1.0,0.0,1
hollman,2.0,1.0,0.0,1
holloman l b/holloman e m,2.0,1.0,0.0,1
siegel,2.0,1.0,0.0,1
howard e. lee,2.0,1.0,0.0,2
sid champion,2.0,1.0,0.0,2
sibley,2.0,1.0,0.0,1
sibila,2.0,1.0,0.0,2
howe,2.0,1.0,0.0,1
shoup ronald r,2.0,1.0,0.0,1
nall,2.0,1.0,0.0,1
ray e roberts,2.0,1.0,0.0,1
hph ltd,2.0,1.0,0.0,1
ray earl d,2.0,1.0,0.0,1
"hph, spol. s.r.o.",2.0,1.0,0.0,1
hrosik gene,2.0,1.0,0.0,1
shoemaker james b,2.0,1.0,0.0,1
shoemaker,2.0,1.0,0.0,2
"hucke, ronald l.",2.0,1.0,0.0,1
sidler mike,2.0,1.0,0.0,1
hostein k/hostein s,2.0,1.0,0.0,1
holman/sears,2.0,1.0,0.0,1
hoskins lonnie f,2.0,1.0,0.0,1
holmes gary don,2.0,1.0,0.0,1
holmes william e,2.0,1.0,0.0,1
sikorsky/orlando,2.0,1.0,0.0,7
holmlund victor p,2.0,1.0,0.0,1
holst lawrence e,2.0,1.0,0.0,1
sikes,2.0,1.0,0.0,2
hood,2.0,1.0,0.0,1
hook,2.0,1.0,0.0,1
hopkins,2.0,1.0,0.0,1
hopkins buckeye industries,2.0,1.0,0.0,2
hordemann,2.0,1.0,0.0,1
siemens,2.0,1.0,0.0,1
siegel gerald,2.0,1.0,0.0,1
hoskins,2.0,1.0,0.0,1
hoskins craig,2.0,1.0,0.0,1
heveron,2.0,1.0,0.0,1
hess john l,2.0,1.0,0.0,1
herring,2.0,1.0,0.0,1
hatcher,2.0,1.0,0.0,1
hatle,2.0,1.0,0.0,1
smith carter a,2.0,1.0,0.0,1
hauser u/hauser j,2.0,1.0,0.0,1
"hauser, william c.",2.0,1.0,0.0,1
hawk,2.0,1.0,0.0,1
smith capella,2.0,1.0,0.0,1
nelson/nelson,2.0,1.0,0.0,1
nelson sydney/nelson diann,2.0,1.0,0.0,1
nelson sydney,2.0,1.0,0.0,1
hawkins & powers,2.0,1.0,0.0,2
hawkins august e,2.0,1.0,0.0,1
hawley richard,2.0,1.0,0.0,1
smiley james e,2.0,1.0,0.0,1
hayes/pietenpol,2.0,1.0,0.0,2
smelser,2.0,1.0,0.0,1
smith douglas j.,2.0,1.0,0.0,1
smith mini,2.0,1.0,0.0,1
smart,2.0,1.0,0.0,1
haskins,2.0,1.0,0.0,1
harrison robert j.,2.0,1.0,0.0,1
harrison volmer,2.0,1.0,0.0,2
harrop blake,2.0,1.0,0.0,2
nerstrom-tailwind,2.0,1.0,0.0,1
smitrovich,2.0,1.0,0.0,1
smithwick/treidel,2.0,1.0,0.0,2
hartline,2.0,1.0,0.0,2
hartline j bon,2.0,1.0,0.0,2
smithgall pitts special,2.0,1.0,0.0,1
hartunian robert,2.0,1.0,0.0,1
hartz paul,2.0,1.0,0.0,1
ransome,2.0,1.0,0.0,1
hartzler,2.0,1.0,0.0,1
harvey patten,2.0,1.0,0.0,1
smith miniplane,2.0,1.0,0.0,4
nelson larry l,2.0,1.0,0.0,1
healy,2.0,1.0,0.0,1
skurich,2.0,1.0,0.0,1
skyrunner,2.0,1.0,0.0,2
skyranger,2.0,1.0,0.0,1
hendrix,2.0,1.0,0.0,1
hendryx steve/wiley ross,2.0,1.0,0.0,1
henley,2.0,1.0,0.0,1
henrie raymond,2.0,1.0,0.0,2
henry j. camacho,2.0,1.0,0.0,1
henry l berrier jr,2.0,1.0,0.0,1
henry vickers,2.0,1.0,0.0,1
herder michael,2.0,1.0,0.0,1
herem,2.0,1.0,0.0,1
sky star,2.0,1.0,0.0,2
herman,2.0,1.0,0.0,1
